operation:  	ADD	 n. times: 	32185 
operation:  	ADDCG	 n. times: 	0 
operation:  	AND	 n. times: 	2324 
operation:  	ANDC	 n. times: 	0 
operation:  	ANDL	 n. times: 	463 
operation:  	BR	 n. times: 	0 
operation:  	BRF	 n. times: 	0 
operation:  	CALL	 n. times: 	937 
operation:  	CMPEQ	 n. times: 	3815 
operation:  	CMPGE	 n. times: 	4771 
operation:  	CMPGEU	 n. times: 	0 
operation:  	CMPGT	 n. times: 	3437 
operation:  	CMPGTU	 n. times: 	0 
operation:  	CMPLE	 n. times: 	59 
operation:  	CMPLEU	 n. times: 	4276 
operation:  	CMPLT	 n. times: 	2567 
operation:  	CMPLTU	 n. times: 	0 
operation:  	CMPNE	 n. times: 	1363 
operation:  	DIVS	 n. times: 	0 
operation:  	GOTO	 n. times: 	3288 
operation:  	ICALL	 n. times: 	0 
operation:  	IGOTO	 n. times: 	0 
operation:  	LDB	 n. times: 	2363 
operation:  	LDBU	 n. times: 	3584 
operation:  	LDBUs	 n. times: 	1263 
operation:  	LDBs	 n. times: 	32 
operation:  	LDH	 n. times: 	0 
operation:  	LDHU	 n. times: 	336 
operation:  	LDHUs	 n. times: 	797 
operation:  	LDHs	 n. times: 	0 
operation:  	LDW	 n. times: 	15475 
operation:  	LDWs	 n. times: 	5650 
operation:  	MAX	 n. times: 	58 
operation:  	MAXU	 n. times: 	0 
operation:  	MFB	 n. times: 	243 
operation:  	MFL	 n. times: 	0 
operation:  	MIN	 n. times: 	0 
operation:  	MINU	 n. times: 	0 
operation:  	MOV	 n. times: 	17317 
operation:  	MPYH	 n. times: 	0 
operation:  	MPYHH	 n. times: 	0 
operation:  	MPYHHU	 n. times: 	0 
operation:  	MPYHS	 n. times: 	0 
operation:  	MPYHU	 n. times: 	0 
operation:  	MPYL	 n. times: 	0 
operation:  	MPYLH	 n. times: 	0 
operation:  	MPYLHU	 n. times: 	0 
operation:  	MPYLL	 n. times: 	0 
operation:  	MPYLLU	 n. times: 	0 
operation:  	MPYLU	 n. times: 	0 
operation:  	MTB	 n. times: 	243 
operation:  	MTBINV	 n. times: 	0 
operation:  	MTL	 n. times: 	0 
operation:  	MUL	 n. times: 	0 
operation:  	MULH	 n. times: 	0 
operation:  	MULHS	 n. times: 	0 
operation:  	MULHU	 n. times: 	0 
operation:  	MULL	 n. times: 	0 
operation:  	MULLH	 n. times: 	0 
operation:  	MULLHHU	 n. times: 	0 
operation:  	MULLHU	 n. times: 	0 
operation:  	MULLL	 n. times: 	0 
operation:  	MULLLU	 n. times: 	0 
operation:  	MULLU	 n. times: 	0 
operation:  	NANDL	 n. times: 	0 
operation:  	NOP	 n. times: 	0 
operation:  	NORL	 n. times: 	1 
operation:  	OR	 n. times: 	1393 
operation:  	ORC	 n. times: 	0 
operation:  	ORL	 n. times: 	1394 
operation:  	PFT	 n. times: 	0 
operation:  	RETURN	 n. times: 	936 
operation:  	SBIT	 n. times: 	0 
operation:  	SBITF	 n. times: 	0 
operation:  	SH1ADD	 n. times: 	2551 
operation:  	SH2ADD	 n. times: 	1938 
operation:  	SH3ADD	 n. times: 	0 
operation:  	SH4ADD	 n. times: 	0 
operation:  	SHL	 n. times: 	3524 
operation:  	SHR	 n. times: 	1941 
operation:  	SHRU	 n. times: 	0 
operation:  	SLCT	 n. times: 	2183 
operation:  	SLCTF	 n. times: 	0 
operation:  	STB	 n. times: 	4346 
operation:  	STH	 n. times: 	1182 
operation:  	STW	 n. times: 	15351 
operation:  	SUB	 n. times: 	1853 
operation:  	SXTB	 n. times: 	1 
operation:  	SXTH	 n. times: 	0 
operation:  	TBIT	 n. times: 	0 
operation:  	TBITF	 n. times: 	0 
operation:  	XNOP	 n. times: 	6777 
operation:  	XOR	 n. times: 	800 
operation:  	ZXTB	 n. times: 	1900 
operation:  	ZXTH	 n. times: 	0 
