operation:  	ADD	 n. times: 	1897986 
operation:  	ADDCG	 n. times: 	0 
operation:  	AND	 n. times: 	494508 
operation:  	ANDC	 n. times: 	0 
operation:  	ANDL	 n. times: 	0 
operation:  	BR	 n. times: 	0 
operation:  	BRF	 n. times: 	0 
operation:  	CALL	 n. times: 	2 
operation:  	CMPEQ	 n. times: 	0 
operation:  	CMPGE	 n. times: 	0 
operation:  	CMPGEU	 n. times: 	0 
operation:  	CMPGT	 n. times: 	0 
operation:  	CMPGTU	 n. times: 	0 
operation:  	CMPLE	 n. times: 	0 
operation:  	CMPLEU	 n. times: 	0 
operation:  	CMPLT	 n. times: 	525030 
operation:  	CMPLTU	 n. times: 	0 
operation:  	CMPNE	 n. times: 	0 
operation:  	DIVS	 n. times: 	0 
operation:  	GOTO	 n. times: 	27098 
operation:  	ICALL	 n. times: 	0 
operation:  	IGOTO	 n. times: 	0 
operation:  	LDB	 n. times: 	0 
operation:  	LDBU	 n. times: 	0 
operation:  	LDBUs	 n. times: 	0 
operation:  	LDBs	 n. times: 	0 
operation:  	LDH	 n. times: 	0 
operation:  	LDHU	 n. times: 	0 
operation:  	LDHUs	 n. times: 	0 
operation:  	LDHs	 n. times: 	0 
operation:  	LDW	 n. times: 	164838 
operation:  	LDWs	 n. times: 	188384 
operation:  	MAX	 n. times: 	10092 
operation:  	MAXU	 n. times: 	0 
operation:  	MFB	 n. times: 	70644 
operation:  	MFL	 n. times: 	0 
operation:  	MIN	 n. times: 	10092 
operation:  	MINU	 n. times: 	0 
operation:  	MOV	 n. times: 	27503 
operation:  	MPYH	 n. times: 	0 
operation:  	MPYHH	 n. times: 	0 
operation:  	MPYHHU	 n. times: 	0 
operation:  	MPYHS	 n. times: 	0 
operation:  	MPYHU	 n. times: 	0 
operation:  	MPYL	 n. times: 	0 
operation:  	MPYLH	 n. times: 	0 
operation:  	MPYLHU	 n. times: 	0 
operation:  	MPYLL	 n. times: 	0 
operation:  	MPYLLU	 n. times: 	0 
operation:  	MPYLU	 n. times: 	0 
operation:  	MTB	 n. times: 	70644 
operation:  	MTBINV	 n. times: 	0 
operation:  	MTL	 n. times: 	0 
operation:  	MUL	 n. times: 	0 
operation:  	MULH	 n. times: 	0 
operation:  	MULHS	 n. times: 	494508 
operation:  	MULHU	 n. times: 	0 
operation:  	MULL	 n. times: 	0 
operation:  	MULLH	 n. times: 	0 
operation:  	MULLHHU	 n. times: 	0 
operation:  	MULLHU	 n. times: 	0 
operation:  	MULLL	 n. times: 	0 
operation:  	MULLLU	 n. times: 	0 
operation:  	MULLU	 n. times: 	494508 
operation:  	NANDL	 n. times: 	0 
operation:  	NOP	 n. times: 	0 
operation:  	NORL	 n. times: 	0 
operation:  	OR	 n. times: 	6728 
operation:  	ORC	 n. times: 	0 
operation:  	ORL	 n. times: 	0 
operation:  	PFT	 n. times: 	0 
operation:  	RETURN	 n. times: 	2 
operation:  	SBIT	 n. times: 	0 
operation:  	SBITF	 n. times: 	0 
operation:  	SH1ADD	 n. times: 	0 
operation:  	SH2ADD	 n. times: 	359948 
operation:  	SH3ADD	 n. times: 	0 
operation:  	SH4ADD	 n. times: 	0 
operation:  	SHL	 n. times: 	168200 
operation:  	SHR	 n. times: 	494508 
operation:  	SHRU	 n. times: 	329672 
operation:  	SLCT	 n. times: 	494508 
operation:  	SLCTF	 n. times: 	0 
operation:  	STB	 n. times: 	0 
operation:  	STH	 n. times: 	0 
operation:  	STW	 n. times: 	7462 
operation:  	SUB	 n. times: 	0 
operation:  	SXTB	 n. times: 	0 
operation:  	SXTH	 n. times: 	0 
operation:  	TBIT	 n. times: 	0 
operation:  	TBITF	 n. times: 	0 
operation:  	XNOP	 n. times: 	1 
operation:  	XOR	 n. times: 	0 
operation:  	ZXTB	 n. times: 	0 
operation:  	ZXTH	 n. times: 	0 
